City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Mar del Plata,-38.0023,-57.5575,73.4,46,0,11.5,AR
Clyde River,70.4692,-68.5914,-23.8,76,90,4.61,CA
Vao,-22.6667,167.4833,78.42,87,2,21.07,NC
Ushuaia,-54.8,-68.3,57.2,62,40,39.12,AR
Saint-Pierre,-21.3393,55.4781,84.2,65,0,14.97,RE
Ponta do Sol,32.6667,-17.1,57.99,60,90,1.99,PT
Kaeo,-35.1,173.7833,61.0,91,39,1.99,NZ
Nikolskoye,59.7035,30.7861,12.2,85,40,13.42,RU
Sørland,67.667,12.6934,37.4,70,40,17.27,NO
Hong Kong,22.2855,114.1577,66.0,82,0,1.01,HK
Hobart,-42.8794,147.3294,64.4,68,100,6.91,AU
San Patricio,28.017,-97.5169,69.01,83,75,18.41,US
Goderich,43.7501,-81.7165,19.4,93,64,6.91,CA
Vaini,-21.2,-175.2,77.0,100,75,5.75,TO
Esim,4.8699,-2.2405,84.4,70,22,8.46,GH
Waiuku,-37.25,174.75,68.0,77,75,8.05,NZ
Mataura,-46.1927,168.8643,41.94,89,44,3.47,NZ
Jamestown,42.097,-79.2353,27.0,93,90,9.22,US
Tawang Town,27.5833,91.8667,33.1,85,21,3.11,IN
Lamu,-2.2717,40.902,80.6,74,1,13.8,KE
Sittwe,20.15,92.9,68.41,62,0,4.32,MM
Bambous Virieux,-20.3428,57.7575,82.4,69,75,14.97,MU
Castro,-24.7911,-50.0119,81.03,66,44,9.55,BR
Iqaluit,63.7506,-68.5145,8.6,78,90,24.16,CA
Pisco,-13.7,-76.2167,69.8,88,0,9.22,PE
Saint George,37.1041,-113.5841,39.2,56,1,11.5,US
Valdosta,30.8327,-83.2785,48.2,46,1,4.61,US
Baykit,61.67,96.37,-4.45,88,100,2.21,RU
Shelburne,44.0787,-80.2041,23.0,100,1,2.91,CA
Hermanus,-34.4187,19.2345,75.0,67,39,7.0,ZA
East London,-33.0153,27.9116,73.4,83,75,9.22,ZA
Arraial do Cabo,-22.9661,-42.0278,91.4,51,0,19.57,BR
Cayenne,4.9333,-52.3333,84.2,65,75,17.27,GF
Loíza,18.4313,-65.8802,82.4,74,40,5.75,PR
North Berwick,56.0583,-2.7229,39.99,90,100,3.0,GB
Thompson,55.7435,-97.8558,-11.2,77,90,12.66,CA
Bethel,41.3712,-73.414,33.01,59,1,11.5,US
Provideniya,64.3833,-173.3,-11.18,85,98,24.9,RU
Ribeira Grande,38.5167,-28.7,55.4,58,40,16.11,PT
Salalah,17.0151,54.0924,75.2,69,40,5.75,OM
Vardø,70.3705,31.1107,26.6,80,75,17.67,NO
Severo-Kuril'sk,50.6789,156.125,9.7,88,98,16.26,RU
Itatinga,-23.1017,-48.6158,84.13,61,39,7.27,BR
Paamiut,61.994,-49.6678,13.08,79,0,7.87,GL
Chuguyevka,44.1653,133.8633,-14.71,84,29,2.46,RU
Norman Wells,65.282,-126.8329,-50.8,65,40,3.44,CA
Nikolayevsk-on-Amur,53.1406,140.73,-14.03,83,100,14.99,RU
Dikson,73.5069,80.5464,-9.85,92,100,11.63,RU
Ostrovnoy,68.0531,39.5131,11.46,93,100,20.18,RU
Ketchikan,55.3422,-131.6461,39.2,100,90,4.61,US
Karauli,26.5,77.0167,63.77,29,0,6.91,IN
Coyhaique,-45.5752,-72.0662,77.0,44,0,3.44,CL
Lavrentiya,65.5833,-171.0,-18.08,84,52,13.29,RU
Makakilo City,21.3469,-158.0858,62.6,88,75,3.44,US
Qaqortoq,60.7167,-46.0333,12.2,52,20,3.44,GL
Burē,10.7,37.0667,76.66,21,69,5.03,ET
Port Lincoln,-34.7333,135.8667,56.97,66,0,18.57,AU
Havøysund,70.9963,24.6622,33.8,64,75,24.16,NO
Fortuna,40.5982,-124.1573,36.0,100,90,6.91,US
Isla Vista,34.4133,-119.861,48.0,87,1,5.77,US
Kajaani,64.2273,27.7285,8.6,78,20,9.22,FI
Karlskoga,59.3267,14.5239,17.01,73,0,3.44,SE
Grand Gaube,-20.0064,57.6608,82.0,74,1,7.0,MU
San Isidro,-12.1167,-77.05,71.01,83,75,6.91,PE
Bashtanka,47.4072,32.4387,41.0,100,75,8.95,UA
Talaya,61.3833,152.75,-22.68,84,100,6.04,RU
Linkou,45.3,130.2833,-17.09,78,0,3.2,CN
Tutóia,-2.7619,-42.2744,91.4,58,20,21.85,BR
Gualaceo,-2.9,-78.7833,57.2,94,90,6.91,EC
Semey,50.4111,80.2275,29.19,98,100,5.91,KZ
Imbituba,-28.24,-48.6703,87.8,74,40,13.8,BR
Carballo,43.213,-8.691,59.0,63,46,0.96,ES
Robertsport,6.7533,-11.3686,82.11,75,2,10.69,LR
Sitka,57.0531,-135.33,35.6,100,90,5.75,US
Faanui,-16.4833,-151.75,80.89,67,5,4.36,PF
Camaná,-16.6228,-72.7111,74.61,67,85,7.87,PE
Atuona,-9.8,-139.0333,77.74,72,26,10.09,PF
Cape Town,-33.9258,18.4232,75.2,60,0,25.32,ZA
Beloha,-25.1667,45.05,90.07,48,83,12.1,MG
Carauari,-4.8828,-66.8958,80.55,82,99,1.59,BR
Alofi,-19.0595,-169.9187,75.2,100,100,3.44,NU
Souillac,-20.5167,57.5167,82.4,69,75,14.97,MU
Honiara,-9.4333,159.95,77.45,84,100,6.04,SB
Bosaso,11.2842,49.1816,75.51,62,0,10.25,SO
Khatanga,71.9667,102.5,-31.16,80,0,10.04,RU
Kalmunai,7.4167,81.8167,77.11,80,100,10.56,LK
Port Elizabeth,-33.918,25.5701,77.0,65,40,10.36,ZA
Gari,59.4307,62.3497,12.33,96,100,6.91,RU
Lompoc,34.6391,-120.4579,46.4,81,1,12.12,US
Diffa,13.3154,12.6113,85.19,14,0,16.71,NE
Saint Paul Harbor,57.79,-152.4072,19.4,86,1,5.75,US
Batemans Bay,-35.7167,150.1833,64.99,91,21,5.41,AU
Atasū,48.6814,71.6433,21.2,95,100,8.5,KZ
Sola,-13.8833,167.55,81.1,79,93,8.7,VU
George,-33.963,22.4617,75.2,60,20,9.22,ZA
Mechetinskaya,46.7713,40.456,51.46,74,46,8.68,RU
Tautira,-17.7333,-149.15,75.2,83,20,2.3,PF
Paracuru,-3.41,-39.0306,82.0,71,84,20.0,BR
Gorontalo,0.5412,123.0595,75.16,87,100,3.13,ID
Roald,62.5833,6.1333,24.8,54,0,18.41,NO
Lagoa,39.05,-27.9833,54.54,67,99,26.89,PT
Port Macquarie,-31.4333,152.9167,69.01,99,73,7.43,AU
Varnavino,57.4035,45.0916,28.96,98,100,7.54,RU
Hilo,19.7297,-155.09,68.0,68,75,6.91,US
Lorengau,-2.0226,147.2712,82.2,71,100,5.99,PG
Luebo,-5.35,21.4167,90.43,44,13,3.02,CD
Nanortalik,60.1432,-45.2371,21.06,81,100,7.78,GL
Smithers,54.7804,-127.1743,19.4,93,75,1.83,CA
Caçador,-26.7753,-51.015,72.1,92,61,8.16,BR
Laas,46.6166,10.7002,48.99,56,0,5.75,IT
Verkhnevilyuysk,63.4453,120.3167,-36.92,82,45,5.1,RU
Nāndgaon,20.3167,74.65,76.46,23,0,3.85,IN
Manta,-0.95,-80.7333,75.2,94,90,5.75,EC
Mount Darwin,-16.7725,31.5838,80.67,69,35,2.89,ZW
Kovdor,67.5662,30.4758,6.69,95,36,6.08,RU
Havre-St-Pierre,50.2334,-63.5986,32.0,86,90,6.91,CA
Kavieng,-2.5744,150.7967,82.54,74,100,7.38,PG
Sanbu,33.4594,119.1453,41.59,68,100,8.08,CN
Sobolevo,54.4299,31.8996,22.21,97,100,17.36,RU
Jardim,-21.4803,-56.1381,79.66,80,99,8.28,BR
Hithadhoo,-0.6,73.0833,82.83,74,91,10.89,MV
Chui,-33.6971,-53.4616,69.55,73,100,19.08,UY
Christchurch,-43.5333,172.6333,48.99,93,0,3.44,NZ
Puerto Escondido,15.85,-97.0667,78.8,83,1,4.61,MX
Aklavik,68.2191,-135.0107,-45.4,66,1,2.3,CA
Merauke,-8.4667,140.3333,80.33,86,96,12.57,ID
Lovozero,68.005,35.0117,3.88,94,100,4.16,RU
Porto Velho,-8.7619,-63.9039,84.2,74,40,2.3,BR
Zhangye,38.9342,100.4517,29.16,72,60,6.31,CN
Xinzhou,38.4092,112.7333,32.05,67,100,3.62,CN
Berlevåg,70.8578,29.0864,30.2,64,75,14.97,NO
Bathsheba,13.2167,-59.5167,84.2,58,75,23.02,BB
Aketi,2.7388,23.7833,84.94,56,56,4.14,CD
Oslo,59.9127,10.7461,18.0,70,0,1.01,NO
St. George's,12.0564,-61.7485,84.2,70,20,23.02,GD
Maniitsoq,65.4167,-52.9,6.24,73,0,8.68,GL
Tinlot,50.4752,5.3784,50.0,71,75,9.22,BE
Oussouye,12.485,-16.5469,96.8,17,0,4.61,SN
Kānt,27.8,79.8,65.21,53,73,15.1,IN
Yumen,40.2833,97.2,30.27,67,0,15.79,CN
Saint-Philippe,-21.3585,55.7679,84.2,65,0,14.97,RE
Bredasdorp,-34.5322,20.0403,75.2,50,82,10.36,ZA
Sirte,31.2089,16.5887,64.45,52,0,4.97,LY
Cradock,-32.1642,25.6192,78.58,56,54,18.5,ZA
Palu,-0.8917,119.8707,75.94,78,100,1.19,ID
Meulaboh,4.1363,96.1285,79.14,82,88,3.24,ID
Blackwater,-23.5833,148.8833,71.94,84,7,8.9,AU
Lebedyan',53.0194,39.1664,33.85,96,100,9.62,RU
Kyra,49.5776,111.9753,12.52,88,31,5.66,RU
Bireun,5.203,96.7009,78.01,82,25,6.33,ID
Omboué,-1.5746,9.2618,82.38,79,65,7.34,GA
Pakse,15.1167,105.7833,71.19,54,6,3.65,LA
Talara,-4.5772,-81.2719,75.2,69,90,19.57,PE
Klyuchi,52.2667,79.1667,21.2,98,100,2.95,RU
Ngunguru,-35.6167,174.5,61.0,91,31,1.99,NZ
Bellview,30.4616,-87.315,55.4,71,75,6.91,US
Zaria,11.1113,7.7227,90.55,11,1,13.76,NG
Sciacca,37.5082,13.0881,63.0,71,77,7.0,IT
Mount Gambier,-37.8333,140.7667,62.6,82,90,14.97,AU
Pimentel,-6.8367,-79.9342,77.0,69,0,11.5,PE
Manga,11.6636,-1.0731,99.93,8,0,7.36,BF
Lüderitz,-26.6481,15.1594,75.16,52,0,24.61,NA
Usinsk,65.9939,57.5281,-7.53,92,88,4.7,RU
Najrān,17.4924,44.1277,84.2,15,0,18.41,SA
Kenai,60.5544,-151.2583,14.0,85,90,5.75,US
Antofagasta,-23.65,-70.4,73.0,64,20,5.75,CL
Tuatapere,-46.1333,167.6833,45.0,89,9,4.16,NZ
Zamość,50.7231,23.252,30.2,93,90,16.11,PL
Ust'-Ishim,57.6935,71.1665,7.3,95,100,3.76,RU
Le Vauclin,14.5452,-60.8388,82.4,74,90,17.27,MQ
Sukumo,32.9333,132.7333,38.08,75,1,6.73,JP
Yantongshan,43.2919,126.0094,5.63,91,53,6.8,CN
Constitución,-35.3333,-72.4167,72.52,55,83,3.71,CL
Riorges,46.0418,4.0497,53.6,76,0,4.61,FR
Canguçu,-31.395,-52.6756,78.8,61,75,17.27,BR
Doha,25.2867,51.5333,70.0,77,0,5.75,QA
Homer,59.6425,-151.5483,24.8,86,90,8.05,US
Cidreira,-30.1811,-50.2056,74.21,73,99,18.39,BR
Chagoda,59.164,35.3285,12.87,96,99,5.48,RU
Belaya Gora,68.5333,146.4167,-12.48,87,98,9.1,RU
Nushki,29.5542,66.0215,52.47,38,0,3.22,PK
Port Blair,11.6667,92.75,79.5,79,27,9.98,IN
Ust'-Ilimsk,58.0006,102.6619,3.92,93,100,3.89,RU
Khovd,48.0056,91.6419,20.41,82,100,6.38,MN
Surgut,61.25,73.4167,-2.2,84,0,8.95,RU
Codrington,-38.2667,141.9667,68.65,50,100,11.74,AU
Morondava,-20.2833,44.2833,87.49,73,17,9.6,MG
Cherskiy,68.75,161.3,-6.27,68,0,11.43,RU
San Quintín,30.4833,-115.95,56.32,87,100,10.33,MX
Zhangjiakou,40.81,114.8794,27.55,70,0,5.61,CN
Ilulissat,69.2167,-51.1,-2.2,38,1,9.22,GL
Hofn,64.2539,-15.2082,33.8,86,75,5.75,IS
Ko Samui,9.5357,99.9357,80.06,81,11,13.2,TH
College,64.8569,-147.8028,-4.0,77,90,8.05,US
Fonte Boa,-2.4959,-66.2662,86.65,64,99,3.85,BR
Pangnirtung,66.1451,-65.7125,-7.6,71,90,3.65,CA
Gunjur,13.2019,-16.7339,87.8,35,0,5.75,GM
Dzhebariki-Khaya,62.2167,135.8,-45.65,75,100,0.18,RU
Arrondissement de Cognac,45.5,-0.25,57.2,72,0,4.61,FR
Mlowo,-9.0,32.9833,70.3,89,100,1.28,TZ
Olden,61.8364,6.8064,19.4,79,0,8.05,NO
Doctor Arroyo,23.6667,-100.1833,65.17,37,0,2.48,MX
La Ronge,55.1001,-105.2842,-13.0,77,59,3.44,CA
Manacor,39.5696,3.2096,69.01,82,0,5.75,ES
U Thong,14.3751,99.8923,81.0,38,16,5.41,TH
Port Hardy,50.6996,-127.4199,41.0,93,90,6.91,CA
Riverton,40.5219,-111.9391,32.0,74,90,9.22,US
Puri,19.8,85.85,75.2,46,0,7.2,IN
Chiang Klang,19.2938,100.8617,71.33,53,0,1.5,TH
Victor Harbor,-35.5667,138.6167,57.0,82,58,3.0,AU
Venice of the Philippines,4.6628,119.3928,81.46,80,84,12.19,PH
Maceió,-9.6658,-35.7353,87.8,62,40,11.5,BR
Rongcheng,30.634,117.8517,49.75,79,100,3.69,CN
Nowy Dwór Gdański,54.2131,19.1177,32.0,69,40,11.5,PL
Rock Sound,24.9,-76.2,66.13,55,1,6.58,BS
Lata,40.1629,-8.3327,62.01,67,92,3.0,PT
Coari,-4.085,-63.1414,83.28,84,99,2.28,BR
Laguna,38.421,-121.4238,39.99,75,1,6.91,US
Zamora,-4.0692,-78.9567,71.6,68,75,5.75,EC
Anadyr,64.75,177.4833,-2.2,60,100,38.03,RU
Yanam,16.7333,82.2167,77.0,44,2,6.91,IN
Saint-Augustin,51.226,-58.6502,34.56,97,100,2.89,CA
Krasne,49.9145,24.6134,35.01,93,75,15.66,UA
Upernavik,72.7868,-56.1549,-9.87,72,100,3.85,GL
Enshi,30.3,109.4833,47.35,82,99,1.63,CN
Włoszczowa,50.8526,19.9659,33.01,76,100,5.99,PL
Celestún,20.8667,-90.4,66.6,67,0,10.04,MX
Pathein,16.7833,94.7333,70.57,79,0,4.92,MM
Brewster,41.3973,-73.6171,34.0,55,40,16.11,US
George Town,5.4112,100.3354,82.4,57,20,6.91,MY
Gobabis,-22.45,18.9667,88.21,21,47,13.51,NA
Nome,64.5011,-165.4064,-5.8,59,20,8.05,US
Cap Malheureux,-19.9842,57.6142,82.0,73,0,8.01,MU
Rome,43.2128,-75.4557,26.01,63,1,8.05,US
Belmonte,-15.8631,-38.8828,84.2,61,20,14.97,BR
Inírida,3.8653,-67.9239,79.68,87,97,3.83,CO
Ucluelet,48.9329,-125.5528,41.0,92,100,5.66,CA
Río Gallegos,-51.6226,-69.2181,75.2,35,0,24.16,AR
Tazovsky,67.4667,78.7,-16.28,89,96,8.01,RU
Promyshlennaya,54.9159,85.6385,12.2,85,20,8.95,RU
Strandby,57.4915,10.4961,24.8,86,75,11.5,DK
North Bend,43.4065,-124.2243,37.99,93,20,3.44,US
Dingle,10.9995,122.6711,74.97,90,50,9.08,PH
Brzeg Dolny,51.273,16.7082,33.8,93,75,5.75,PL
Forsytheganj,52.6333,29.7333,27.68,98,100,15.26,BY
Tiksi,71.6872,128.8694,-25.76,86,96,3.38,RU
Ljungby,56.8332,13.9408,23.0,86,0,4.61,SE
Kinablangan,7.6947,126.5503,76.95,85,32,2.91,PH
Kruisfontein,-34.0033,24.7314,78.01,62,81,5.99,ZA
Hualmay,-11.0964,-77.6139,74.46,63,90,5.46,PE
Dauphin,51.1494,-100.0502,3.2,78,90,8.05,CA
Nelson Bay,-32.7167,152.15,71.01,83,66,3.44,AU
Barguzin,53.6167,109.6167,5.9,87,82,5.97,RU
Kumul,42.8,93.45,28.35,84,5,0.6,CN
Torbay,47.6666,-52.7314,46.4,93,75,11.5,CA
Cockburn Town,21.4612,-71.1419,73.4,64,40,4.61,TC
Oliver,49.1831,-119.5524,33.8,69,100,2.3,CA
Grandview,38.8858,-94.533,39.99,89,90,19.57,US
Calvinia,-31.4707,19.776,87.15,14,0,16.49,ZA
Nyaunglebin,17.95,96.7333,73.76,38,0,2.68,MM
Tarakan,3.3,117.6333,77.0,94,75,3.44,ID
Launceston,-41.45,147.1667,62.6,72,86,5.75,AU
Pacific Grove,36.6177,-121.9166,46.99,87,1,8.05,US
Chicama,-7.8447,-79.1469,69.8,88,91,8.05,PE
Peruíbe,-24.32,-46.9983,94.55,48,25,1.05,BR
Butembo,0.15,29.2833,71.51,64,80,1.72,CD
Kerrobert,51.9168,-109.1348,-13.0,77,20,5.75,CA
San Ramon,37.7799,-121.978,42.01,60,1,5.75,US
Luoyang,34.6836,112.4536,51.01,99,100,4.43,CN
Isangel,-19.55,169.2667,78.1,81,100,7.7,VU
Guerrero Negro,27.9769,-114.0611,59.61,82,100,11.05,MX
Zhanakorgan,43.9098,67.2495,37.09,79,99,8.39,KZ
Kununurra,-15.7667,128.7333,82.4,94,100,6.91,AU
Punta Alta,-38.8759,-62.0736,77.97,26,0,8.14,AR
Harper,4.375,-7.7169,83.26,76,31,8.72,LR
Kidal,18.4411,1.4078,89.26,9,0,13.49,ML
Parkes,-33.1333,148.1833,70.0,87,100,2.55,AU
Birjand,32.8663,59.2211,51.8,6,0,9.22,IR
Airai,-8.9266,125.4092,58.71,100,100,4.0,TL
Tacuarembó,-31.7333,-55.9833,74.86,68,35,14.81,UY
Taunggyi,20.7833,97.0333,53.96,59,0,0.94,MM
Karasburg,-28.0167,18.75,95.9,10,0,10.67,NA
Te Anau,-45.4167,167.7167,48.15,87,1,0.81,NZ
Asău,46.4333,26.4,57.2,54,20,9.22,RO
Olafsvik,64.8945,-23.7142,38.34,79,100,35.19,IS
Vestmannaeyjar,63.4427,-20.2734,37.4,87,75,27.63,IS
Bagdarin,54.4333,113.6,-10.3,85,23,3.13,RU
Pitimbu,-7.4706,-34.8086,84.2,70,75,12.66,BR
‘Ewa Beach,21.3156,-158.0072,62.6,88,75,3.44,US
Gravdal,68.1214,13.5031,28.4,86,20,8.05,NO
Dali,25.7,100.1833,46.85,53,0,4.94,CN
Zhigansk,66.7697,123.3711,-42.84,72,0,9.66,RU
Mitsamiouli,-11.3847,43.2844,84.04,66,31,5.1,KM
Dunedin,-45.8742,170.5036,52.0,78,1,7.99,NZ
Handan,36.6006,114.4678,46.27,43,100,8.25,CN
Havelock,34.8791,-76.9013,42.01,41,20,5.75,US
Kristinestad,62.2743,21.376,22.05,96,99,11.7,FI
East Liverpool,40.6187,-80.5773,23.0,86,1,4.61,US
Esperance,-33.8667,121.9,55.4,82,90,12.66,AU
Padang,-0.9492,100.3543,78.8,89,40,2.3,ID
Okha,53.5739,142.9478,-12.69,88,100,21.18,RU
Uvat,59.1433,68.8953,6.84,95,100,4.76,RU
Itarema,-2.9248,-39.9167,87.87,55,97,17.4,BR
Mehamn,71.0357,27.8492,33.8,64,75,14.97,NO
Kjøllefjord,70.9457,27.3465,33.8,64,75,24.16,NO
Kotma,23.2,81.9667,64.22,28,0,4.25,IN
Saint-François,46.4154,3.9054,53.6,76,0,4.61,FR
Saint Anthony,45.0205,-93.218,28.4,86,90,16.11,US
Severnyy,50.677,36.5532,37.4,100,90,8.95,RU
Lahān,26.7296,86.4951,63.99,41,0,4.47,NP
Salym,60.0625,71.4789,2.44,94,99,4.59,RU
Hasaki,35.7333,140.8333,37.4,48,0,5.75,JP
Oparino,59.8518,48.2783,21.94,98,100,7.72,RU
Flin Flon,54.7682,-101.865,-5.8,77,90,12.66,CA
Tanete,-3.9443,119.7848,78.48,81,100,2.57,ID
Bengkulu,-3.8004,102.2655,76.77,87,100,4.27,ID
San Jerónimo,-11.9472,-75.2829,56.82,58,95,1.77,PE
Rocha,-34.4833,-54.3333,72.5,64,61,21.07,UY
‘Āhuimanu,21.4447,-157.8378,69.8,83,40,6.91,US
Saint-Ambroise,48.5501,-71.3324,26.01,86,49,6.91,CA
Kahului,20.8947,-156.47,64.0,75,75,3.44,US
Marshall,34.3834,-86.3333,39.0,60,1,4.61,US
Narsaq,60.9167,-46.05,12.2,52,20,3.44,GL
Conde,-7.2597,-34.9075,84.2,70,75,12.66,BR
Mergen,49.1833,125.2167,-6.27,88,99,8.99,CN
Mana,5.6592,-53.7767,81.12,72,96,15.1,GF
Makokou,0.5738,12.8642,84.2,65,75,2.37,GA
Bahía Honda,22.9036,-83.1592,67.24,58,0,6.67,CU
Qingquan,30.4511,115.2559,48.76,90,100,0.54,CN
Kiama,-34.6833,150.8667,72.0,82,55,3.0,AU
Sechura,-5.5569,-80.8222,78.17,59,50,10.47,PE
Hobyo,5.3505,48.5268,77.05,76,8,17.69,SO
Tessalit,20.1986,1.0114,89.33,10,0,11.43,ML
Joshīmath,30.5667,79.5667,42.66,57,100,2.26,IN
Bella Union,-30.2752,-57.6007,77.13,61,19,15.12,UY
Navoloki,57.4657,41.9634,18.0,96,99,5.68,RU
Broome,42.2506,-75.833,28.99,80,75,13.8,US
Kaura Namoda,12.5898,6.5779,93.13,11,0,14.29,NG
Burgeo,47.6167,-57.6152,40.75,93,100,8.23,CA
Mbalmayo,3.5167,11.5,92.7,24,100,4.16,CM
High Level,58.5169,-117.136,-16.6,83,20,5.75,CA
Yugorsk,61.3133,63.3319,10.89,95,100,5.53,RU
Rancho Palos Verdes,33.7445,-118.387,53.01,93,0,4.0,US
Whithorn,18.2604,-78.0378,81.0,69,20,12.66,JM
Ubari,26.5921,12.7805,72.07,20,71,9.04,LY
Buala,-8.145,159.5921,78.24,85,100,11.07,SB
Arlit,18.7369,7.3853,85.17,12,71,4.29,NE
Sioux Lookout,50.1001,-91.917,21.2,93,90,5.75,CA
Makueni Boma,-1.8041,37.6203,76.82,51,0,9.19,KE
Semme,46.1963,1.5007,54.0,87,90,6.91,FR
Kesinga,20.2,83.2333,65.19,25,0,1.1,IN
Yaan,7.3833,8.5667,102.16,8,10,10.09,NG
Avera,33.194,-82.5271,39.0,75,1,3.74,US
Muroto-misakicho,33.2833,134.15,48.56,51,31,7.85,JP
Taungdwingyi,20.0167,95.55,71.73,38,0,1.39,MM
Chumikan,54.7183,135.315,-18.76,77,53,30.2,RU
San Rafael,-34.6177,-68.3301,79.45,20,0,3.58,AR
Roncesvalles,4.0108,-75.6049,63.86,68,94,5.14,CO
Port Hedland,-20.3167,118.5667,82.4,83,75,12.66,AU
Lakes Entrance,-37.8811,147.981,71.01,79,74,7.43,AU
Sassandra,4.95,-6.0833,83.98,72,36,7.38,CI
Black River,18.0264,-77.8487,81.0,69,20,12.66,JM
Coquimbo,-29.9533,-71.3436,62.6,77,75,6.91,CL
Bemidji,47.4736,-94.8803,15.8,79,90,13.8,US
Mikhaylovka,50.06,43.2379,41.9,94,100,9.15,RU
Acapulco de Juárez,16.8634,-99.8901,75.2,88,20,3.44,MX
Koutsouras,35.0339,25.9469,64.99,61,0,4.45,GR
Vostok,46.4856,135.8833,-18.17,89,100,6.26,RU
Hambantota,6.1241,81.1185,77.0,88,20,9.22,LK
Inhambane,-23.865,35.3833,89.6,70,20,13.8,MZ
Iwaki,37.05,140.8833,34.0,59,0,1.99,JP
Charters Towers,-20.1,146.2667,74.05,87,25,9.84,AU
Cam Ranh,11.9214,109.1591,77.0,69,20,10.36,VN
Sosnovka,56.255,51.2842,30.43,99,100,5.46,RU
Vila Velha,-20.3297,-40.2925,91.0,58,40,16.11,BR
Chirnogeni,43.9,28.2333,59.0,67,20,18.41,RO
Coruripe,-10.1256,-36.1756,86.38,57,90,12.59,BR
Rawson,-43.3002,-65.1023,91.04,16,0,13.02,AR
Poronaysk,49.2167,143.1167,-21.17,84,0,3.44,RU
Hamilton,39.1834,-84.5333,32.0,74,90,11.5,US
Alta Floresta,-9.8756,-56.0861,84.24,79,62,2.68,BR
Sarapulka,56.8678,61.0552,23.0,93,40,8.95,RU
Kroya,-7.6331,109.2461,78.19,87,100,3.65,ID
Maxixe,-23.8597,35.3472,89.6,70,20,13.8,MZ
Chapada dos Guimarães,-15.4606,-55.7497,87.8,62,40,10.36,BR
Nantucket,41.2835,-70.0995,33.01,86,90,13.8,US
Bridlington,54.0831,-0.1919,42.01,88,99,11.99,GB
Mwinilunga,-11.7358,24.4293,77.92,65,29,3.29,ZM
Forestville,38.8451,-76.875,36.0,44,20,6.91,US
Morón,-34.6534,-58.6198,81.0,46,0,5.01,AR
Biak,-0.9131,122.8766,76.89,81,100,2.71,ID
Cabedelo,-6.9811,-34.8339,84.2,70,75,12.66,BR
Necochea,-38.5473,-58.7368,75.0,62,0,15.61,AR
Khorixas,-20.3667,14.9667,89.67,25,23,16.33,NA
Visnes,59.3556,5.2242,28.0,58,0,8.05,NO
Praia da Vitória,38.7333,-27.0667,57.2,58,75,28.57,PT
